#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ-157_1	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-157_1	Sponge	NZ-157_1
NZ-167	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-167	Sponge	NZ-167
NZ-188	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-188	Sponge	NZ-188
NZ-200	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-200	Sponge	NZ-200
NZ-201	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-201	Sponge	NZ-201
NZ-202	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-202	Sponge	NZ-202
NZ-203	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-203	Sponge	NZ-203
NZ-204	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-204	Sponge	NZ-204
NZ-205	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-205	Sponge	NZ-205
NZ-206	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-206	Sponge	NZ-206
NZ-207	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-207	Sponge	NZ-207
NZ-208	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-208	Sponge	NZ-208
NZ-209	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-209	Sponge	NZ-209
NZ-210	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-210	Sponge	NZ-210
NZ-211	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-211	Sponge	NZ-211
NZ-212	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-212	Sponge	NZ-212
NZ-213	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-213	Sponge	NZ-213
NZ-214	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-214	Sponge	NZ-214
NZ-215	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-215	Sponge	NZ-215
NZ-216	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-216	Sponge	NZ-216
NZ-217	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-217	Sponge	NZ-217
NZ-218	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-218	Sponge	NZ-218
NZ-219	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-219	Sponge	NZ-219
NZ-222	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-222	Sponge	NZ-222
NZ-223	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-223	Sponge	NZ-223
NZ-224	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-224	Sponge	NZ-224
NZ-225	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-225	Sponge	NZ-225
NZ-226	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-226	Sponge	NZ-226
NZ-227	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-227	Sponge	NZ-227
NZ-228	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-228	Sponge	NZ-228
NZ-229	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-229	Sponge	NZ-229
NZ-230	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-230	Sponge	NZ-230
NZ-231	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-231	Sponge	NZ-231
NZ-238	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-238	Sponge	NZ-238
NZ-239	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-239	Sponge	NZ-239
NZ-242	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-242	Sponge	NZ-242
NZ-243	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-243	Sponge	NZ-243
NZ-244	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-244	Sponge	NZ-244
NZ-246	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-246	Sponge	NZ-246
NZ-247	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-247	Sponge	NZ-247
NZ-248	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-248	Sponge	NZ-248
NZ-249	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-249	Sponge	NZ-249
NZ-250	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-250	Sponge	NZ-250
NZ-251	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-251	Sponge	NZ-251
NZ-252	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-252	Sponge	NZ-252
NZ-253	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-253	Sponge	NZ-253
NZ-255	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-255	Sponge	NZ-255
NZ-256	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-256	Sponge	NZ-256
NZ-257	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-257	Sponge	NZ-257
NZ-258	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-258	Sponge	NZ-258
NZ-259	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-259	Sponge	NZ-259
NZ-260	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-260	Sponge	NZ-260
NZ-307	2017	Farreidae	Farreidae	Farrea occa occa	Sponge	NZ-307
NZ-344	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-344	Sponge	NZ-344
