#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ218	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-218	Sponge	NZ-218
NZ219	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-219	Sponge	NZ-219
NZ222	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-222	Sponge	NZ-222
NZ223	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-223	Sponge	NZ-223
NZ224	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-224	Sponge	NZ-224
NZ225	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-225	Sponge	NZ-225
NZ226	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-226	Sponge	NZ-226
NZ227	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-227	Sponge	NZ-227
NZ228	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-228	Sponge	NZ-228
NZ229	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-229	Sponge	NZ-229
NZ230	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-230	Sponge	NZ-230
NZ231	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-231	Sponge	NZ-231
NZ238	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-238	Sponge	NZ-238
NZ239	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-239	Sponge	NZ-239
NZ242	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-242	Sponge	NZ-242
NZ243	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-243	Sponge	NZ-243
NZ244	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-244	Sponge	NZ-244
NZ246	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-246	Sponge	NZ-246
NZ247	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-247	Sponge	NZ-247
NZ248	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-248	Sponge	NZ-248
NZ249	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-249	Sponge	NZ-249
NZ250	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-250	Sponge	NZ-250
NZ251	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-251	Sponge	NZ-251
NZ252	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-252	Sponge	NZ-252
NZ253	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-253	Sponge	NZ-253
NZ255	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-255	Sponge	NZ-255
NZ256	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-256	Sponge	NZ-256
NZ257	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-257	Sponge	NZ-257
NZ258	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-258	Sponge	NZ-258
NZ259	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-259	Sponge	NZ-259
NZ260	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-260	Sponge	NZ-260
NZ307	2017	Farreidae	Farreidae	Farrea occa occa	Sponge	NZ-307
NZ344	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-344	Sponge	NZ-344
NZ351	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-351	Sponge	NZ-351
NZ1572	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-157_2	Sponge	NZ-157_2
NIWA127200	2017	NIWA	NIWA	NIWA	NIWA	NIWA127200
NIWA127224	2017	NIWA	NIWA	NIWA	NIWA	NIWA127224
NIWA127239	2017	NIWA	NIWA	NIWA	NIWA	NIWA127239
NIWA127245	2017	NIWA	NIWA	NIWA	NIWA	NIWA127245
Tanja5A	2017	Tanja	Tanja5A	Tanja5A	Tanja	Tanja5A
Tanja5B	2017	Tanja	Tanja5B	Tanja5B	Tanja	Tanja5B
Tanja5C	2017	Tanja	Tanja5C	Tanja5C	Tanja	Tanja5C
PS1069	2017	Sponge	PS-1069	PS-1069	Sponge	PS-1069
TanjaKC1	2017	Tanja	Tanja_K_C1	Tanja_K_C1	Tanja	Tanja_K_C1
TanjaKC2	2017	Tanja	Tanja_K_C2	Tanja_K_C2	Tanja	Tanja_K_C2
TanjaKC3	2017	Tanja	Tanja_K_C3	Tanja_K_C3	Tanja	Tanja_K_C3
Tanja61	2017	Tanja	Tanja6_1	Tanja6_1	Tanja	Tanja6_1
Tanja62	2017	Tanja	Tanja6_2	Tanja6_2	Tanja	Tanja6_2
Tanja63	2017	Tanja	Tanja6_3	Tanja6_3	Tanja	Tanja6_3
Mock1	2017	Mock	Mock1	Mock1	Mock	Mock1
Mock2	2017	Mock	Mock2	Mock2	Mock	Mock2
Mock3	2017	Mock	Mock3	Mock3	Mock	Mock3
Mock4	2017	Mock	Mock4	Mock4	Mock	Mock4
NTC2	2017	NC	NTC2	NTC2	NC	NTC2
NTC3	2017	NC	NTC3	NTC3	NC	NTC3
